iter	Accuracy	MultiClass
0	0.6030514722	1.474193868
1	0.6321518879	1.369080508
2	0.6480949728	1.292021003
3	0.6612094458	1.223994965
4	0.6642094887	1.165666004
5	0.6726524665	1.116255326
6	0.6756096516	1.078946259
7	0.6800240003	1.042699348
8	0.6873098187	1.012023265
9	0.6967813826	0.978921231
10	0.7004671495	0.9521866156
11	0.7040243432	0.9318201773
12	0.7112244461	0.9085521623
13	0.7125958942	0.8923896494
14	0.7161959457	0.8734567496
15	0.7214674495	0.8528684224
16	0.7276389663	0.8364813149
17	0.734153345	0.8181672724
18	0.7413534479	0.8023168999
19	0.7468820983	0.7873567187
20	0.7494107059	0.7753295007
21	0.7532250461	0.7635724175
22	0.7545964942	0.7543241555
23	0.7577251104	0.7468084319
24	0.7591394163	0.7393725454
25	0.7643252046	0.7288279949
26	0.7670252432	0.7212843319
27	0.7711824455	0.7131422555
28	0.7750825012	0.7028223337
29	0.7765825226	0.6979077783
30	0.7781682595	0.6919650577
31	0.7807397249	0.6859030401
32	0.7839111987	0.6792255863
33	0.7851540736	0.6718572623
34	0.7896112802	0.664669775
35	0.7902970042	0.6594857582
36	0.7919255989	0.6531174928
37	0.7927398963	0.6502296038
38	0.7926970385	0.6471257847
39	0.7933399049	0.6443934407
40	0.7960828012	0.6396340676
41	0.796982814	0.6371118685
42	0.7980114002	0.6330983049
43	0.8006257232	0.6308138553
44	0.8019114559	0.6284837724
45	0.8031971885	0.6264942564
46	0.8040543436	0.6245707791
47	0.8046543522	0.6238449836
48	0.8043972057	0.6223928787
49	0.8056400806	0.6192312455
50	0.8061115159	0.6178379055
51	0.8062829469	0.6162118438
52	0.8069258132	0.6147501891
53	0.8070972442	0.6127802192
54	0.8077401106	0.6107955272
55	0.8085115502	0.6096254511
56	0.8097544251	0.6069556274
57	0.8122830326	0.6026848117
58	0.8125401791	0.6012469734
59	0.811683024	0.5997126663
60	0.8120687438	0.5980478799
61	0.8128401834	0.5954927537
62	0.8145973514	0.591361941
63	0.8146402091	0.5904549011
64	0.8159259418	0.588826721
65	0.8172116745	0.5858317401
66	0.8180688296	0.5847845541
67	0.819568851	0.5809261131
68	0.8193545622	0.5797353902
69	0.8196974242	0.5796306457
70	0.8197831398	0.5775480947
71	0.8205545794	0.5768403531
72	0.8207688681	0.574434203
73	0.8211117302	0.5732253189
74	0.8216260232	0.5716211152
75	0.8223117473	0.5708454268
76	0.8232546179	0.5689418862
77	0.8251403591	0.5658939102
78	0.825868941	0.5637973774
79	0.8262546608	0.563384674
80	0.8286546951	0.5603325561
81	0.8290832726	0.558515815
82	0.8303261475	0.5567862679
83	0.830411863	0.5554469811
84	0.8306690096	0.5546744656
85	0.8320404577	0.5528712867
86	0.8336261947	0.549861341
87	0.8339261989	0.5497039483
88	0.8348262118	0.5473755067
89	0.8354690781	0.5463827753
90	0.8361548022	0.5452670505
91	0.8371405306	0.5430637865
92	0.8375691081	0.5421659911
93	0.8372691038	0.5416790732
94	0.8379976857	0.5408567105
95	0.8383834055	0.5401030294
96	0.8388548408	0.5396717127
97	0.841083444	0.5360145661
98	0.8411691596	0.5349288918
99	0.8416405949	0.5338513159
100	0.8423263189	0.5328301956
101	0.8428834698	0.5319385063
102	0.8436549094	0.5308873761
103	0.845112073	0.5285511579
104	0.845112073	0.5265691465
105	0.8453263618	0.5259971044
106	0.8460549436	0.5248308286
107	0.8460549436	0.5240773585
108	0.8478121116	0.5205688967
109	0.8476406806	0.5196633961
110	0.8482835469	0.5174688642
111	0.8505978657	0.5147622941
112	0.8511978743	0.5125933819
113	0.8517121673	0.5113029423
114	0.8518407406	0.5101886658
115	0.8522264604	0.5092047457
116	0.8527836112	0.5076444332
117	0.8538121973	0.5063723924
118	0.8538550551	0.5054181257
119	0.8547979257	0.5044428311
120	0.855612223	0.5034149965
121	0.8561693738	0.5028131615
122	0.8563408049	0.5000742161
123	0.8574551065	0.4980424801
124	0.8580551151	0.4961899893
125	0.8588265547	0.4949740789
126	0.8587408392	0.4944534837
127	0.8588265547	0.4938272546
128	0.8598979985	0.4912762274
129	0.8600694296	0.4904686844
130	0.8613551622	0.4882897217
131	0.8620408863	0.4868643538
132	0.861912313	0.4850646117
133	0.8624266061	0.4838772364
134	0.8631980457	0.4829236736
135	0.864012343	0.4811858136
136	0.8644837783	0.4799043405
137	0.8643123473	0.4791055035
138	0.8642266318	0.4784287842
139	0.8644837783	0.4773156146
140	0.8652552179	0.4757916477
141	0.8653837912	0.4751247409
142	0.8653837912	0.474355302
143	0.8669695281	0.4729445281
144	0.8670981014	0.4720995808
145	0.8674838212	0.4709008097
146	0.8689838426	0.4697881067
147	0.8691124159	0.4691804441
148	0.8697124245	0.4687087775
149	0.870141002	0.4679657657
150	0.86979814	0.4678556021
151	0.86979814	0.4674000239
152	0.8700124287	0.4667577926
153	0.8704838641	0.4657852983
154	0.8706981528	0.4651852082
155	0.8706124373	0.464721437
156	0.8708267261	0.4643573369
157	0.8715124502	0.4629152554
158	0.8717695967	0.4623723154
159	0.8727124673	0.46184983
160	0.8731410449	0.4608482312
161	0.8729267561	0.4605155113
162	0.8730981871	0.4589744335
163	0.8733124759	0.4574248012
164	0.8739124845	0.4569801402
165	0.8736124802	0.4569439744
