iter	Passed	Remaining
0	225	112337
1	403	100454
2	615	101912
3	795	98598
4	984	97470
5	1158	95392
6	1364	96108
7	1512	93041
8	1685	91972
9	1830	89688
10	2039	90644
11	2236	90959
12	2419	90655
13	2625	91144
14	2796	90414
15	2965	89697
16	3172	90146
17	3357	89910
18	3520	89126
19	3696	88722
20	3911	89215
21	4131	89764
22	4359	90407
23	4595	91135
24	4783	90894
25	4986	90899
26	5174	90647
27	5344	90085
28	5501	89349
29	5700	89308
30	5868	88785
31	6066	88724
32	6287	88983
33	6454	88462
34	6658	88460
35	6847	88254
36	7010	87725
37	7218	87767
38	7335	86714
39	7583	87205
40	7785	87164
41	8020	87463
42	8192	87067
43	8384	86893
44	8600	86958
45	8844	87294
46	9067	87391
47	9146	86127
48	9389	86423
49	9627	86648
50	9729	85661
51	9942	85661
52	10205	86072
53	10417	86044
54	10613	85869
55	10952	86836
56	11165	86780
57	11360	86571
58	11636	86974
59	11965	87747
60	12259	88231
61	12488	88224
62	12683	87982
63	12920	88021
64	13218	88461
65	13391	88062
66	13623	88041
67	13814	87764
68	14080	87949
69	14188	87155
70	14390	86948
71	14698	87372
72	14896	87134
73	15181	87393
74	15444	87518
75	15797	88132
76	15969	87726
77	16116	87195
78	16361	87194
79	16748	87928
80	16940	87629
81	17134	87346
82	17341	87123
83	17628	87301
84	17898	87385
85	18074	87007
86	18290	86827
87	18740	87740
88	19070	88065
89	19304	87942
90	19528	87769
91	19719	87452
92	19961	87360
93	20246	87448
94	20478	87304
95	20766	87391
96	21160	87915
97	21373	87674
98	21680	87817
99	21976	87905
100	22272	87988
101	22546	87976
102	22851	88077
103	23053	87779
104	23277	87567
105	23576	87634
106	23762	87276
107	24008	87141
108	24157	86658
109	24459	86720
110	24686	86512
111	24898	86256
112	25064	85839
113	25280	85599
114	25518	85431
115	25778	85336
116	25935	84898
117	26146	84643
118	26483	84792
119	26693	84528
120	26889	84223
121	27253	84439
122	27413	84022
123	27572	83608
124	27803	83409
125	28059	83288
126	28329	83203
127	28596	83108
128	28762	82720
129	28935	82353
130	29102	81974
131	29275	81617
132	29468	81314
133	29657	81005
134	29908	80862
135	30116	80605
136	30311	80314
137	30541	80115
138	30932	80334
139	31242	80338
140	31519	80251
141	31886	80390
142	32181	80340
143	32365	80015
144	32677	80003
145	32854	79660
146	33037	79334
147	33344	79306
148	33746	79495
149	33963	79247
150	34316	79315
151	34715	79479
152	34998	79374
153	35184	79050
154	35649	79347
155	35947	79268
156	36253	79204
157	36501	79010
158	36797	78917
159	37148	78940
160	37372	78691
161	37741	78743
162	37918	78395
163	38104	78066
164	38414	77993
165	38869	78206
166	39273	78311
167	39489	78037
168	39883	78115
169	40251	78135
170	40715	78335
171	41166	78502
172	41357	78173
173	41681	78092
174	41894	77803
175	42140	77577
176	42562	77670
177	42932	77663
178	43261	77581
179	43536	77397
