feature,coefficient,abs_coef
cat__PantryQuality_Fa,1.7002203729309202,1.7002203729309202
cat__ExteriorQuality_Fa,1.4848703065998448,1.4848703065998448
cat__ExteriorQuality_TA,-1.2429523191085186,1.2429523191085186
num__OfficeSpace,1.215445501210534,1.215445501210534
num__BuildingGrade,0.991791057470562,0.991791057470562
cat__PantryQuality_TA,-0.9231646029437822,0.9231646029437822
cat__PantryQuality_Gd,-0.776600374591238,0.776600374591238
cat__ExteriorQuality_Gd,-0.7688803999307773,0.7688803999307773
cat__BasementQuality_TA,-0.669944217790906,0.669944217790906
cat__BasementQuality_Ex,0.615699687560673,0.615699687560673
cat__HeatingQuality_Fa,0.5780786580434506,0.5780786580434506
cat__ExteriorQuality_Ex,0.527119522842517,0.527119522842517
cat__BasementQuality_Fa,0.37575518110738004,0.37575518110738004
cat__BasementQuality_Gd,-0.3294824759916655,0.3294824759916655
cat__ParkingFinish_Fin,0.2927500860830704,0.2927500860830704
cat__BusinessDistrict_BrkSide,0.28433667533409634,0.28433667533409634
cat__FoundationType_CBlock,-0.283226931972822,0.283226931972822
cat__HeatingQuality_Gd,-0.27191211482406513,0.27191211482406513
cat__HeatingQuality_Ex,-0.2560088940018137,0.2560088940018137
cat__FunctionalityRating_Min1,-0.2299877245504554,0.2299877245504554
cat__ExteriorCondition_Fa,0.216381869813179,0.216381869813179
cat__LandFlatness_HLS,-0.21595752741721633,0.21595752741721633
cat__ParkingCondition_Fa,-0.19674545189658302,0.19674545189658302
cat__FoundationType_Slab,0.19182527536987207,0.19182527536987207
cat__HeatingQuality_TA,-0.17576266881611485,0.17576266881611485
cat__FoundationType_PConc,-0.1728062067892305,0.1728062067892305
cat__FoundationType_BrkTil,0.1726257000235786,0.1726257000235786
num__Restrooms,0.16892444347903618,0.16892444347903618
cat__Proximity1_Feedr,-0.16891136170332732,0.16891136170332732
num__ConstructionYear,0.1672699421333621,0.1672699421333621
cat__ListingCondition_Abnorml,0.16197877068048508,0.16197877068048508
cat__BasementFinishType2_ALQ,0.1590432682098491,0.1590432682098491
cat__CentralAirConditioning_N,0.15681837066450324,0.15681837066450324
cat__CentralAirConditioning_Y,-0.15666126032580033,0.15666126032580033
cat__PavedAccess_N,0.15557995751810832,0.15557995751810832
cat__ExteriorCovering1_CemntBd,-0.1513083414031484,0.1513083414031484
cat__ParkingType_2Types,0.15075534354698836,0.15075534354698836
cat__ParkingFinish_RFn,-0.15071394300518512,0.15071394300518512
cat__BasementFinishType1_LwQ,0.14748115023120167,0.14748115023120167
num__ExteriorFinishArea,0.14210880532579717,0.14210880532579717
cat__ParkingFinish_Unf,-0.1418790327972042,0.1418790327972042
cat__ParkingQuality_Gd,0.14152348264498962,0.14152348264498962
cat__BusinessDistrict_Mitchel,-0.13652338996218444,0.13652338996218444
cat__ZoningClassification_C (all),0.13403444783723048,0.13403444783723048
cat__BasementFinishType2_GLQ,-0.13192370382610297,0.13192370382610297
cat__HeatingQuality_Po,0.12576212990661867,0.12576212990661867
cat__ExteriorCondition_Ex,-0.12460895740976545,0.12460895740976545
cat__ZoningClassification_FV,0.12363662548048546,0.12363662548048546
num__BuildingClass,-0.12288302890231023,0.12288302890231023
cat__ListingCondition_Normal,-0.12024930986150432,0.12024930986150432
cat__ConferenceRoomQuality_Fa,-0.11953153850499144,0.11953153850499144
cat__ZoningClassification_RL,-0.11736029546338507,0.11736029546338507
cat__ParkingQuality_Fa,-0.11698360947640196,0.11698360947640196
num__MeetingRooms,0.11569623393721688,0.11569623393721688
cat__BusinessDistrict_NridgHt,-0.1143947932257878,0.1143947932257878
cat__BusinessDistrict_ClearCr,-0.11384887334609674,0.11384887334609674
cat__BuildingStyle_SLvl,0.11330152981782565,0.11330152981782565
cat__ZoningClassification_RM,-0.11287062425956318,0.11287062425956318
num__UpperFloorArea,-0.11137945204143078,0.11137945204143078
cat__BasementExposure_Gd,0.11109395973226996,0.11109395973226996
cat__BasementFinishType2_LwQ,0.10856489388387004,0.10856489388387004
cat__BasementFinishType2_Unf,-0.10830879445782784,0.10830879445782784
cat__LandFlatness_Low,0.10808993229229548,0.10808993229229548
cat__ExteriorFinishType_BrkFace,-0.10373960265434465,0.10373960265434465
cat__BusinessDistrict_Blmngtn,0.10129725641461403,0.10129725641461403
cat__FunctionalityRating_Min2,0.09924026686275099,0.09924026686275099
cat__ExteriorCovering2_Wd Shng,0.09699853590640618,0.09699853590640618
cat__PantryQuality_Ex,-0.09562152751350715,0.09562152751350715
cat__PantryQuality_Po,0.09532324244408989,0.09532324244408989
cat__BusinessDistrict_SawyerW,-0.09257381040578058,0.09257381040578058
cat__BasementExposure_No,-0.0923322244725925,0.0923322244725925
num__UnfinishedBasementArea,0.09109350363173181,0.09109350363173181
cat__FunctionalityRating_Typ,0.09070491334745348,0.09070491334745348
num__ParkingConstructionYear,-0.09016713593315764,0.09016713593315764
cat__BusinessDistrict_BrDale,0.08666413409539565,0.08666413409539565
cat__PavedAccess_Y,-0.08576969415506829,0.08576969415506829
cat__ParkingCondition_TA,0.08449932543987891,0.08449932543987891
cat__ConferenceRoomQuality_Gd,0.0841240550811901,0.0841240550811901
cat__BuildingStyle_1Story,-0.08407545320368835,0.08407545320368835
cat__PlotConfiguration_FR2,0.08144133309684327,0.08144133309684327
cat__ParkingType_BuiltIn,-0.08135670733903604,0.08135670733903604
cat__LandFlatness_Bnk,0.08100909830837243,0.08100909830837243
cat__ExteriorCondition_Gd,-0.0807533069681945,0.0807533069681945
cat__BuildingStyle_1.5Fin,0.07835568055708707,0.07835568055708707
cat__PlotShape_IR1,0.07747954028161852,0.07747954028161852
cat__ExteriorCovering1_HdBoard,0.07611191080390577,0.07611191080390577
cat__BuildingStyle_2.5Unf,-0.07577285487694198,0.07577285487694198
cat__PlotShape_IR2,-0.0750563650099318,0.0750563650099318
cat__ParkingCondition_Gd,0.07486649381088857,0.07486649381088857
cat__Proximity2_Feedr,-0.07420643040733876,0.07420643040733876
cat__ListingCondition_Alloca,-0.07171346541014985,0.07171346541014985
cat__BasementFinishType1_Rec,-0.0705026533832349,0.0705026533832349
cat__PavedAccess_P,-0.06965315303473023,0.06965315303473023
num__TotalRooms,-0.06915449100572016,0.06915449100572016
cat__BasementFinishType2_BLQ,-0.06644517596770308,0.06644517596770308
cat__BusinessDistrict_Veenker,0.06597004680393094,0.06597004680393094
cat__BasementCondition_Fa,-0.06400449576217809,0.06400449576217809
cat__BusinessDistrict_Sawyer,-0.0637326884540274,0.0637326884540274
cat__ExteriorCovering2_AsbShng,0.0635200778265581,0.0635200778265581
cat__ExteriorFinishType_Stone,0.06309268214724455,0.06309268214724455
cat__FunctionalityRating_Maj2,0.06262792689856486,0.06262792689856486
cat__RoofMaterial_CompShg,0.06172111520760798,0.06172111520760798
cat__Perimeter_GdWo,-0.06164057595438939,0.06164057595438939
cat__ListingType_COD,0.06130179687289485,0.06130179687289485
cat__ParkingType_Basment,-0.06107478128152338,0.06107478128152338
cat__PlotConfiguration_CulDSac,-0.06106342883471598,0.06106342883471598
cat__BusinessDistrict_Timber,0.05916827249293079,0.05916827249293079
cat__Proximity1_RRAe,0.05833150123862799,0.05833150123862799
cat__ExteriorCovering1_WdShing,0.05827558641253905,0.05827558641253905
cat__BasementFinishType1_Unf,-0.05786917161911895,0.05786917161911895
cat__BasementCondition_Po,0.057856982323642725,0.057856982323642725
cat__ParkingType_CarPort,-0.05636364701770457,0.05636364701770457
cat__ConferenceRoomQuality_Ex,0.0553475346770896,0.0553475346770896
cat__HeatingType_Wall,0.05513363964322194,0.05513363964322194
cat__ParkingType_Attchd,0.05501836384010327,0.05501836384010327
cat__Proximity2_PosA,0.054817558152136736,0.054817558152136736
num__ParkingSpots,0.05467227454854462,0.05467227454854462
num__OpenBalconyArea,0.05351285047015275,0.05351285047015275
cat__ExteriorCovering1_Wd Sdng,-0.05271464344015296,0.05271464344015296
cat__BusinessDistrict_NoRidge,0.05228703266022725,0.05228703266022725
